país,medio,canal,fecha_hora,segmento,marca,versión,duración,valor_dolares
BRASIL,RD,TUPI FM 96.5,2024-08-17 06:02:27+00,Greytime,BETACTION,CARIOCA DE VERDADE,24,865.4
BRASIL,TC,BANDSPORTS,2024-08-17 06:10:14+00,Greytime,VIRTUAL CHARM,RESPEITO SEGURANCA,30,1292
BRASIL,RD,Rádio Vitoriosa 105.5 FM,2024-08-17 06:12:23+00,Greytime,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,Rádio Gorutubana 1380 AM,2024-08-17 06:12:31+00,Greytime,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,CBN FM 90.5,2024-08-17 06:43:23+00,Greytime,BETACTION,PROFETA,29,
BRASIL,TC,ESPN,2024-08-17 06:49:52+00,Greytime,NEOWIN,FUTEBOL,5,229.05
BRASIL,TC,ESPN,2024-08-17 06:50:02+00,Greytime,WINSHARK,FUTEBOL,5,229.05
BRASIL,TC,ESPN2,2024-08-17 07:39:36+00,Greytime,MEGAGAME,RUGBY,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:40:21+00,Greytime,NEOWIN,FUTEBOL,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:40:31+00,Greytime,LUCKY LINE,FUTEBOL,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:45:47+00,Greytime,MEGAGAME,RUGBY,5,140.25
BRASIL,TC,ESPN2,2024-08-17 07:45:52+00,Greytime,MEGAGAME,SUPER BONUS DE 500 A,15,280.5
BRASIL,TC,ESPN,2024-08-17 07:50:07+00,Greytime,SPORTFLIX,NOVO BONUS F,30,610.8
BRASIL,TC,ESPN3,2024-08-17 07:51:47+00,Greytime,SPORTFLIX,NOVO BONUS F,30,140
BRASIL,RD,CBN FM 90.5,2024-08-17 07:51:48+00,Greytime,BETACTION,PROFETA,29,
BRASIL,TC,ESPN,2024-08-17 08:04:37+00,Day,BETACTION,BOLA DA VEZ,5,277.5
BRASIL,TC,ESPN3,2024-08-17 08:14:40+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,ESPN,2024-08-17 08:18:21+00,Day,SPORTFLIX,NOVO BONUS F,30,740
BRASIL,TC,ESPN,2024-08-17 08:20:01+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 08:20:11+00,Day,LUCKY LINE,FUTEBOL,5,277.5
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 08:29:01+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,MULTISHOW,2024-08-17 08:36:11+00,Day,FOOTY MANAGER,DEFINICAO,30,
BRASIL,TC,ESPN2,2024-08-17 08:46:07+00,Day,SPORTFLIX,NOVO BONUS F,30,340
BRASIL,TC,ESPN3,2024-08-17 09:04:57+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,ESPN3,2024-08-17 09:05:02+00,Day,MEGAGAME,SUPER ODDS,15,157.5
BRASIL,TC,SPORTV 2,2024-08-17 09:10:15+00,Day,FOOTY MANAGER,DEFINICAO,30,220
BRASIL,TC,ESPN,2024-08-17 09:17:58+00,Day,LUCKY LINE,TIME GRANDE,30,740
BRASIL,TC,ESPN,2024-08-17 09:20:14+00,Day,NEOWIN,FLASH BETS,30,740
BRASIL,TC,ESPN5,2024-08-17 09:24:04+00,Day,LUCKY LINE,TIME GRANDE,30,160
BRASIL,TC,ESPN,2024-08-17 09:27:52+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,740
BRASIL,TC,ESPN3,2024-08-17 09:29:23+00,Day,MEGAGAME,SUPER BONUS DE 500 A,15,157.5
BRASIL,TC,ESPN,2024-08-17 09:29:52+00,Day,LUCKY LINE,TIME GRANDE,30,740
BRASIL,TC,ESPN2,2024-08-17 09:40:30+00,Day,BET4FUN,VEM PRO PLAY,30,340
BRASIL,TC,ESPN2,2024-08-17 09:41:49+00,Day,NEOWIN,FUTEBOL,5,127.5
BRASIL,TC,ESPN2,2024-08-17 09:41:59+00,Day,WINSHARK,FUTEBOL,5,127.5
BRASIL,TC,ESPN4,2024-08-17 09:42:08+00,Day,SPORTFLIX,NOVO BONUS F,30,540
BRASIL,TC,ESPN3,2024-08-17 09:45:51+00,Day,MEGAGAME,SUPERSOCIAL,15,157.5
BRASIL,RD,CBN FM 90.5,2024-08-17 09:52:14+00,Day,BETACTION,PROFETA,29,
BRASIL,TC,ESPN5,2024-08-17 09:59:06+00,Day,NEOWIN,FUTEBOL,5,60
BRASIL,TC,ESPN5,2024-08-17 09:59:16+00,Day,WINSHARK,FUTEBOL,5,60
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 10:02:05+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,ESPN5,2024-08-17 10:03:33+00,Day,SPORTFLIX,NOVO BONUS F,30,160
BRASIL,TC,ESPN5,2024-08-17 10:21:36+00,Day,MEGAGAME,ABRA SUA CONTA,30,160
BRASIL,TC,ESPN,2024-08-17 10:28:59+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:29:09+00,Day,LUCKY LINE,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:29:14+00,Day,MEGAGAME,SUPER BONUS 500,30,740
BRASIL,TC,ESPN3,2024-08-17 10:30:10+00,Day,MEGAGAME,CICLISMO,5,78.75
BRASIL,TC,BANDSPORTS,2024-08-17 10:32:20+00,Day,VIRTUAL CHARM,RESPEITO SEGURANCA,30,1292
BRASIL,TC,SPORTV,2024-08-17 10:39:48+00,Day,SPORTFLIX,NOVO BONUS F,30,984
BRASIL,TC,ESPN5,2024-08-17 10:44:08+00,Day,NEOWIN,FUTEBOL,5,60
BRASIL,TC,ESPN5,2024-08-17 10:44:23+00,Day,LUCKY LINE,FUTEBOL,5,60
BRASIL,TC,ESPN4,2024-08-17 10:45:48+00,Day,NEOWIN,FUTEBOL,5,202.5
BRASIL,TC,ESPN4,2024-08-17 10:45:58+00,Day,WINSHARK,FUTEBOL,5,202.5
BRASIL,TC,ESPN,2024-08-17 10:48:36+00,Day,SPORTFLIX,NOVO BONUS F,30,740
BRASIL,TC,ESPN,2024-08-17 10:50:16+00,Day,NEOWIN,FUTEBOL,5,277.5
BRASIL,TC,ESPN,2024-08-17 10:50:26+00,Day,LUCKY LINE,FUTEBOL,5,277.5
BRASIL,RD,TUPI FM 96.5,2024-08-17 10:52:03+00,Day,BETACTION,CARIOCA DE VERDADE,24,865.4
BRASIL,TC,ESPN3,2024-08-17 10:55:09+00,Day,SPORTFLIX,NOVO BONUS F,30,210
BRASIL,TC,ESPN3,2024-08-17 10:57:11+00,Day,LUCKY LINE,TIME GRANDE,30,210
BRASIL,TC,ESPN3,2024-08-17 10:58:15+00,Day,NEOWIN,FUTEBOL,5,78.75
BRASIL,TC,ESPN3,2024-08-17 10:58:30+00,Day,LUCKY LINE,FUTEBOL,5,78.75
BRASIL,TC,ESPN2,2024-08-17 11:03:58+00,Day,SPORTFLIX,NOVO BONUS F,30,340
BRASIL,TC,ESPN2,2024-08-17 11:21:02+00,Day,WINSHARK,PAI VICARI 30,30,340
BRASIL,TC,ESPN2,2024-08-17 11:43:01+00,Day,MEGAGAME,BASQUETE,15,255
BRASIL,TC,ESPN2,2024-08-17 11:44:26+00,Day,MEGAGAME,CICLISMO,5,127.5
BRASIL,TC,ESPN6,2024-08-17 11:49:28+00,Day,SPORTFLIX,NOVO BONUS F,30,160
BRASIL,TC,ESPN4,2024-08-17 11:49:33+00,Day,SPORTFLIX,NOVO BONUS F,30,540
BRASIL,TC,ESPN,2024-08-17 11:51:40+00,Day,LUCKY LINE,TIME GRANDE,30,740
BRASIL,TC,ESPN,2024-08-17 11:53:55+00,Day,NEOWIN,FLASH BETS,30,740
BRASIL,TC,ESPN3,2024-08-17 11:55:38+00,Day,SPORTFLIX,NOVO BONUS F,30,210
BRASIL,TC,ESPN5,2024-08-17 11:56:26+00,Day,MEGAGAME,SAQUES SUPER RAPIDOS,60,320
BRASIL,TC,ESPN2,2024-08-17 11:59:25+00,Day,SPORTFLIX,ESPN TENIS,5,127.5
BRASIL,TC,ESPN2,2024-08-17 11:59:50+00,Day,MEGAGAME,TENIS,5,127.5
BRASIL,TC,ESPN4,2024-08-17 12:01:10+00,Day,WINSHARK,DIA DE TRABALHO 15,15,750
BRASIL,TC,ESPN4,2024-08-17 12:01:25+00,Day,BET4FUN,VEM PRO PLAY,30,1000
BRASIL,TC,ESPN,2024-08-17 12:01:34+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,1260
BRASIL,RD,Rádio Vale do Aço 102.3 FM,2024-08-17 12:01:49+00,Day,WINNERX,PONTOS CORRIDOS,30,
BRASIL,RD,Rádio Integração 90.9 FM,2024-08-17 12:02:42+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,Rádio Gorutubana 1380 AM,2024-08-17 12:02:51+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,RD,Rádio Ponte Nova 89.7 FM,2024-08-17 12:02:54+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,ESPN,2024-08-17 12:03:34+00,Day,LUCKY LINE,TIME GRANDE,30,1260
BRASIL,TC,ESPN4,2024-08-17 12:06:56+00,Day,MEGAGAME,SAQUES SUPER RAPIDOS,60,2000
BRASIL,TC,ESPN4,2024-08-17 12:13:17+00,Day,MEGAGAME,BASQUETE,15,750
BRASIL,RD,Rádio 13 de Junho 99.7 FM,2024-08-17 12:25:04+00,Day,SEVEN WAGERS,BET7K A,56,
BRASIL,RD,Rádio Integração 90.9 FM,2024-08-17 12:25:04+00,Day,SEVEN WAGERS,BET7K A,56,
BRASIL,RD,Rádio Difusora 95.3 FM,2024-08-17 12:25:07+00,Day,SEVEN WAGERS,BET7K A,56,
BRASIL,RD,Rádio Gorutubana 1380 AM,2024-08-17 12:25:15+00,Day,SEVEN WAGERS,BET7K A,56,
BRASIL,RD,Rádio Ponte Nova 89.7 FM,2024-08-17 12:25:34+00,Day,SEVEN WAGERS,BET7K A,56,
BRASIL,TC,ESPN4,2024-08-17 12:28:10+00,Day,NEOWIN,FUTEBOL,5,375
BRASIL,TC,ESPN4,2024-08-17 12:28:20+00,Day,WINSHARK,FUTEBOL,5,375
BRASIL,TC,ESPN2,2024-08-17 12:30:38+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN4,2024-08-17 12:42:32+00,Day,LUCKY LINE,TIME GRANDE,30,1000
BRASIL,TC,ESPN4,2024-08-17 12:48:21+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN4,2024-08-17 12:50:02+00,Day,NEOWIN,FUTEBOL,5,375
BRASIL,TC,ESPN3,2024-08-17 12:50:10+00,Day,BET4FUN,VEM PRO PLAY,30,400
BRASIL,TC,ESPN4,2024-08-17 12:50:12+00,Day,WINSHARK,FUTEBOL,5,375
BRASIL,TC,ESPN4,2024-08-17 12:51:21+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA,30,1000
BRASIL,TC,ESPN3,2024-08-17 12:51:22+00,Day,SPORTFLIX,NOVO BONUS F,30,400
BRASIL,TC,ESPN6,2024-08-17 12:57:56+00,Day,NEOWIN,FUTEBOL,5,71.25
BRASIL,TC,ESPN6,2024-08-17 12:58:11+00,Day,LUCKY LINE,FUTEBOL,5,71.25
BRASIL,TC,SPORTV 3,2024-08-17 13:00:48+00,Day,FOOTY MANAGER,DEFINICAO,30,120
BRASIL,TC,ESPN,2024-08-17 13:00:55+00,Day,NEOWIN,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 13:01:05+00,Day,LUCKY LINE,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 13:01:10+00,Day,MEGAGAME,ABRA SUA CONTA,30,1260
BRASIL,TC,ESPN,2024-08-17 13:18:27+00,Day,SPORTFLIX,NOVO BONUS F,30,1260
BRASIL,TC,ESPN,2024-08-17 13:20:07+00,Day,NEOWIN,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 13:20:17+00,Day,LUCKY LINE,FUTEBOL,5,472.5
BRASIL,TC,ESPN4,2024-08-17 13:21:13+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA B,10,500
BRASIL,RD,CBN FM 90.5,2024-08-17 13:24:09+00,Day,BETACTION,COTACAO PROFETA,29,
BRASIL,TC,ESPN2,2024-08-17 13:32:58+00,Day,MEGAGAME,ABRA SUA CONTA,30,1000
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 13:39:34+00,Day,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,ESPN4,2024-08-17 13:41:41+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA C,15,750
BRASIL,TC,SPORTV,2024-08-17 13:43:27+00,Day,FOOTY MANAGER,DEFINICAO,30,2032
BRASIL,TC,ESPN4,2024-08-17 13:48:03+00,Day,NEOWIN,FLASH BETS,30,1000
BRASIL,TC,ESPN4,2024-08-17 13:50:19+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA D,20,750
BRASIL,TC,ESPN4,2024-08-17 13:52:52+00,Day,WINSHARK,DIA DE TRABALHO 30A,30,1000
BRASIL,TC,ESPN2,2024-08-17 13:53:23+00,Day,SPORTFLIX,ESPN TENIS,5,375
BRASIL,TC,ESPN5,2024-08-17 13:53:25+00,Day,MEGAGAME,SUPERSOCIAL,15,142.5
BRASIL,TC,ESPN2,2024-08-17 13:53:48+00,Day,MEGAGAME,TENIS,5,375
BRASIL,TC,ESPN2,2024-08-17 13:55:12+00,Day,MEGAGAME,SUPER BONUS 500,30,1000
BRASIL,TC,ESPN4,2024-08-17 13:58:50+00,Day,WINSHARK,PAI VICARI 30,30,1000
BRASIL,TC,ESPN4,2024-08-17 14:00:46+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,1000
BRASIL,TC,ESPN3,2024-08-17 14:00:48+00,Day,MEGAGAME,CICLISMO,5,150
BRASIL,TC,ESPN3,2024-08-17 14:01:23+00,Day,MEGAGAME,SUPER BONUS 500,30,400
BRASIL,TC,ESPN3,2024-08-17 14:02:03+00,Day,MEGAGAME,CICLISMO,5,150
BRASIL,TC,STAR CHANNEL,2024-08-17 14:02:13+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TC,FX,2024-08-17 14:14:00+00,Day,MEGAGAME,SUPER BONUS 500,30,800
BRASIL,TC,ESPN,2024-08-17 14:18:55+00,Day,LUCKY LINE,TIME GRANDE,30,1260
BRASIL,TC,ESPN4,2024-08-17 14:21:02+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA E,10,500
BRASIL,TC,ESPN,2024-08-17 14:21:10+00,Day,NEOWIN,FLASH BETS,30,1260
BRASIL,TC,STAR CHANNEL,2024-08-17 14:26:51+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TC,ESPN,2024-08-17 14:28:57+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,1260
BRASIL,TC,ESPN3,2024-08-17 14:30:37+00,Day,MEGAGAME,SUPER ODDS,15,300
BRASIL,TC,ESPN,2024-08-17 14:30:57+00,Day,LUCKY LINE,TIME GRANDE,30,1260
BRASIL,TC,ESPN2,2024-08-17 14:34:49+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN4,2024-08-17 14:37:00+00,Day,WINSHARK,2024-08-17 COPA DA ALEMANHA F,15,750
BRASIL,RD,TUPI FM 96.5,2024-08-17 14:50:26+00,Day,BETACTION,SAQUE PIX,31,865.4
BRASIL,TC,STAR CHANNEL,2024-08-17 14:50:35+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TC,ESPN3,2024-08-17 14:51:31+00,Day,MEGAGAME,CICLISMO,5,150
BRASIL,TC,ESPN2,2024-08-17 14:52:43+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN4,2024-08-17 14:52:54+00,Day,NEOWIN,FUTEBOL,5,375
BRASIL,TC,ESPN4,2024-08-17 14:53:04+00,Day,WINSHARK,FUTEBOL,5,375
BRASIL,TC,ESPN4,2024-08-17 14:53:08+00,Day,MEGAGAME,SUPER BONUS 500,30,1000
BRASIL,TC,TNT,2024-08-17 14:56:54+00,Day,BETACTION,PROFETIZAR,30,2400
BRASIL,TC,ESPN5,2024-08-17 15:00:13+00,Day,SPORTFLIX,NOVO BONUS F,30,190
BRASIL,TC,SPORTV,2024-08-17 15:03:43+00,Day,HOUSE OF WAGERS,BRASILEIRAO SERIE B,5,762
BRASIL,TC,SPORTV,2024-08-17 15:03:48+00,Day,HOUSE OF WAGERS,CASA DO BRASIL 30,30,2032
BRASIL,RD,CBN FM 90.5,2024-08-17 15:15:03+00,Day,BETACTION,COTACAO PROFETA,29,
BRASIL,TC,ESPN3,2024-08-17 15:15:22+00,Day,MEGAGAME,SUPER BONUS DE 500 A,15,300
BRASIL,TC,STAR CHANNEL,2024-08-17 15:18:50+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TC,ESPN2,2024-08-17 15:21:10+00,Day,MEGAGAME,ABRA SUA CONTA,30,1000
BRASIL,RD,TUPI FM 96.5,2024-08-17 15:22:29+00,Day,BETACTION,CARIOCA DE VERDADE,24,865.4
BRASIL,TC,ESPN,2024-08-17 15:30:17+00,Day,NEOWIN,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 15:30:27+00,Day,LUCKY LINE,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 15:30:32+00,Day,MEGAGAME,SUPER BONUS 500,30,1260
BRASIL,TC,ESPN,2024-08-17 15:31:22+00,Day,SPORTFLIX,NOVO BONUS F,30,1260
BRASIL,TC,ESPN,2024-08-17 15:33:02+00,Day,NEOWIN,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 15:33:12+00,Day,WINSHARK,FUTEBOL,5,472.5
BRASIL,TV,BANDEIRANTES,2024-08-17 15:33:28+00,Day,BET4FUN,BAND ESPORTE CLUBE,5,1702.8
BRASIL,TV,BANDEIRANTES,2024-08-17 15:33:59+00,Day,SPORTFLIX,BONUS DE ATE 1000,15,3405.6
BRASIL,TV,BANDEIRANTES,2024-08-17 15:34:29+00,Day,BET4FUN,VEM PRO PLAY SS,30,4540.8
BRASIL,TC,ESPN3,2024-08-17 15:35:59+00,Day,MEGAGAME,CICLISMO,5,150
BRASIL,TC,BANDSPORTS,2024-08-17 15:37:11+00,Day,VIRTUAL CHARM,RESPEITO SEGURANCA,30,2122
BRASIL,TV,BANDEIRANTES,2024-08-17 15:37:14+00,Day,HOUSE OF WAGERS," SHOW DO ESPORTE",5,1702.8
BRASIL,TV,BANDEIRANTES,2024-08-17 15:37:37+00,Day,BET4FUN,BAND ESPORTE CLUBE,5,1702.8
BRASIL,TC,ESPN2,2024-08-17 15:37:39+00,Day,SPORTFLIX,ESPN TENIS,5,375
BRASIL,TC,ESPN2,2024-08-17 15:38:04+00,Day,MEGAGAME,TENIS,5,375
BRASIL,TC,ESPN4,2024-08-17 15:43:22+00,Day,WINSHARK,DIA DE TRABALHO 30A,30,1000
BRASIL,TC,ESPN4,2024-08-17 15:45:24+00,Day,MEGAGAME,SAQUES SUPER RAPIDOS,60,2000
BRASIL,TC,ESPN4,2024-08-17 15:54:19+00,Day,MEGAGAME,SUPER BONUS 500,30,1000
BRASIL,TC,SPORTV 2,2024-08-17 15:56:59+00,Day,FOOTY MANAGER,DEFINICAO,30,360
BRASIL,TV,BANDEIRANTES,2024-08-17 16:01:58+00,Day,CHAMPBET,BRASIL URGENTE,5,2471.7
BRASIL,TV,BANDEIRANTES,2024-08-17 16:03:03+00,Day,COMBAT STREAM,SAB 17 AGO,30,6591.2
BRASIL,TC,STAR CHANNEL,2024-08-17 16:03:51+00,Day,MEGAGAME,SUPER BONUS 500,30,
BRASIL,TC,BANDSPORTS,2024-08-17 16:04:00+00,Day,SPORTFLIX,NOVO BONUS F,30,2122
BRASIL,TC,ESPN5,2024-08-17 16:10:13+00,Day,SPORTFLIX,NOVO BONUS F,30,190
BRASIL,TV,BANDEIRANTES,2024-08-17 16:12:49+00,Day,BETACTION,PROFETIZOU,31,6591.2
BRASIL,TV,BANDEIRANTES,2024-08-17 16:15:52+00,Day,CHAMPBET,BRASIL URGENTE,5,2471.7
BRASIL,RD,TUPI FM 96.5,2024-08-17 16:22:01+00,Day,BETACTION,SAQUE PIX,31,865.4
BRASIL,TC,ESPN4,2024-08-17 16:22:36+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN4,2024-08-17 16:23:20+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,SPORTV,2024-08-17 16:24:12+00,Day,HOUSE OF WAGERS,CASA DO BRASIL 30,30,2032
BRASIL,TC,ESPN4,2024-08-17 16:25:01+00,Day,NEOWIN,FUTEBOL,5,375
BRASIL,TC,ESPN4,2024-08-17 16:25:11+00,Day,LUCKY LINE,FUTEBOL,5,375
BRASIL,TC,BANDSPORTS,2024-08-17 16:26:59+00,Day,VIRTUAL CHARM,RESPEITO SEGURANCA,30,2122
BRASIL,TC,STAR CHANNEL,2024-08-17 16:28:20+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TV,GLOBO,2024-08-17 16:28:41+00,Day,BETACTION,APOSTA FUTURO,30,9101.6
BRASIL,TC,FX,2024-08-17 16:32:17+00,Day,SPORTFLIX,NOVO BONUS F,30,800
BRASIL,TC,ESPN,2024-08-17 16:36:45+00,Day,NEOWIN,FLASH BETS,30,1260
BRASIL,TC,ESPN,2024-08-17 16:39:00+00,Day,WINSHARK,DIA DE TRABALHO 30A,30,1260
BRASIL,TC,ESPN3,2024-08-17 16:43:04+00,Day,MEGAGAME,GOLF,5,150
BRASIL,TC,ESPN,2024-08-17 16:47:31+00,Day,WINSHARK,PAI VICARI 30,30,1260
BRASIL,TC,ESPN2,2024-08-17 16:48:26+00,Day,SPORTFLIX,NOVO BONUS F,30,1000
BRASIL,TC,ESPN,2024-08-17 16:49:32+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,1260
BRASIL,TC,FX,2024-08-17 16:52:48+00,Day,SPORTFLIX,NOVO BONUS F,30,800
BRASIL,TC,ESPN6,2024-08-17 16:56:49+00,Day,LUCKY LINE,TIME GRANDE,30,190
BRASIL,TV,GLOBO,2024-08-17 17:03:33+00,Day,BETACTION,CAMPEONATO BRASILEIRO,5,3413.1
BRASIL,TC,FX,2024-08-17 17:11:04+00,Day,SPORTFLIX,NOVO BONUS F,30,800
BRASIL,TC,ESPN5,2024-08-17 17:11:24+00,Day,MEGAGAME,SAQUES SUPER RAPIDOS,60,380
BRASIL,TC,STAR CHANNEL,2024-08-17 17:14:13+00,Day,SPORTFLIX,NOVO BONUS F,30,
BRASIL,TC,ESPN5,2024-08-17 17:15:08+00,Day,MEGAGAME,SAQUES SUPER RAPIDOS,60,380
BRASIL,TC,ESPN3,2024-08-17 17:17:21+00,Day,MEGAGAME,GOLF,5,150
BRASIL,TC,ESPN4,2024-08-17 17:21:55+00,Day,NEOWIN,FLASH BETS,30,1000
BRASIL,TC,MULTISHOW,2024-08-17 17:22:46+00,Day,FOOTY MANAGER,DEFINICAO,30,
BRASIL,TC,ESPN4,2024-08-17 17:24:10+00,Day,LUCKY LINE,TIME GRANDE,30,1000
BRASIL,TC,ESPN4,2024-08-17 17:26:47+00,Day,NEOWIN,CRIADOR DE APOSTAS,30,1000
BRASIL,TC,FX,2024-08-17 17:31:34+00,Day,SPORTFLIX,NOVO BONUS F,30,800
BRASIL,TC,SPORTV,2024-08-17 17:33:02+00,Day,HOUSE OF WAGERS,BRASILEIRAO SERIE B,5,762
BRASIL,TC,SPORTV,2024-08-17 17:33:07+00,Day,HOUSE OF WAGERS,CASA DO BRASIL 30,30,2032
BRASIL,TC,ESPN4,2024-08-17 17:33:12+00,Day,LUCKY LINE,TIME GRANDE,30,1000
BRASIL,TC,ESPN2,2024-08-17 17:34:14+00,Day,MEGAGAME,ABRA SUA CONTA,30,1000
BRASIL,TC,STAR CHANNEL,2024-08-17 17:40:26+00,Day,WINSHARK,PAI VICARI 30,30,
BRASIL,TC,ESPN3,2024-08-17 17:44:13+00,Day,MEGAGAME,SUPER BONUS DE 500 A,15,300
BRASIL,TC,ESPN,2024-08-17 17:51:52+00,Day,NEOWIN,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 17:52:02+00,Day,WINSHARK,FUTEBOL,5,472.5
BRASIL,TC,ESPN,2024-08-17 17:52:06+00,Day,MEGAGAME,ABRA SUA CONTA,30,1260
BRASIL,TC,ESPN,2024-08-17 17:52:41+00,Day,WINSHARK,PAI VICARI 15,15,945
BRASIL,TC,ESPN,2024-08-17 18:01:03+00,Primetime,MEGAGAME,SUPER BONUS 500,30,3540
BRASIL,TC,ESPN,2024-08-17 18:02:58+00,Primetime,NEOWIN,FUTEBOL,5,1327.5
BRASIL,TC,ESPN,2024-08-17 18:03:08+00,Primetime,WINSHARK,FUTEBOL,5,1327.5
BRASIL,TC,ESPN3,2024-08-17 18:03:22+00,Primetime,MEGAGAME,GOLF,5,285
BRASIL,TC,ESPN,2024-08-17 18:04:03+00,Primetime,SPORTFLIX,F360,5,1327.5
BRASIL,TC,ESPN2,2024-08-17 18:14:31+00,Primetime,SPORTFLIX,ESPN TENIS,5,697.5
BRASIL,TC,ESPN2,2024-08-17 18:14:56+00,Primetime,MEGAGAME,TENIS,5,697.5
BRASIL,TC,DISCOVERY CHANNEL,2024-08-17 18:19:36+00,Primetime,SPORTFLIX,NOVO BONUS F,30,3380
BRASIL,TC,ESPN,2024-08-17 18:28:46+00,Primetime,NEOWIN,FLASH BETS,30,3540
BRASIL,TC,ESPN4,2024-08-17 18:28:56+00,Primetime,NEOWIN,FUTEBOL,5,697.5
BRASIL,TC,ESPN4,2024-08-17 18:29:06+00,Primetime,LUCKY LINE,FUTEBOL,5,697.5
BRASIL,TC,ESPN,2024-08-17 18:31:20+00,Primetime,MEGAGAME,SPORTSCENTER,5,1327.5
BRASIL,RD,CBN FM 90.5,2024-08-17 18:36:32+00,Primetime,BETACTION,E SEM IGUAL,29,
BRASIL,RD,TUPI FM 96.5,2024-08-17 18:36:44+00,Primetime,BETACTION,CARIOCA DE VERDADE,24,865.4
BRASIL,TC,ESPN,2024-08-17 18:38:48+00,Primetime,LUCKY LINE,TIME GRANDE,30,3540
BRASIL,TC,ESPN,2024-08-17 18:40:40+00,Primetime,MEGAGAME,LINHA DE PASSE,5,1327.5
BRASIL,TC,ESPN,2024-08-17 18:41:28+00,Primetime,BETACTION,BOLA DA VEZ,5,1327.5
BRASIL,TC,ESPN,2024-08-17 18:46:09+00,Primetime,SPORTFLIX,NOVO BONUS F,30,3540
BRASIL,TC,ESPN,2024-08-17 18:48:11+00,Primetime,WINSHARK,DIA DE TRABALHO 15,15,2655
BRASIL,TC,ESPN6,2024-08-17 18:50:39+00,Primetime,MEGAGAME,BASQUETE,15,255
BRASIL,RD,ENERGIA 97.7 FM,2024-08-17 18:50:58+00,Primetime,LUCKY LINE,BETFAIT VEMPROJOGO A PART 17/7,29,
BRASIL,TC,SPORTV,2024-08-17 18:52:08+00,Primetime,HOUSE OF WAGERS,CASA DO BRASIL 30,30,5600
BRASIL,TC,ESPN6,2024-08-17 18:56:08+00,Primetime,SPORTFLIX,NOVO BONUS F,30,340
